,bb,bba,gbest,gbestgc,lbest,lbestgc,spso,vn,vngc
ackley,0.54703739079242,-0.292609651867356,-0.304235258468251,0.553675926677823,0.717403459804336,0.715777344210047,0.453996555136681,0.0389582825618683,0.116267487372133
alpine,0.451680178716939,-0.239781887132662,-0.45554831794599,0.322878539885608,0.498603112300166,0.548886992063113,0.142160945136331,0.489719589760941,0.662189971145517
eggholder,0.419622738725409,0.530142244023581,0.647107921735465,0.0227519993866672,0.198858854559252,0.67207080031569,0.0237385078953494,0.0257399571258647,0.654035818654967
elliptic,0.0538883819283859,0.390964124353789,0.636780531673679,0.28980380272014,0.0992686073701178,0.456781340429424,0.208776510776479,0.295917985038433,0.504521548112846
goldsteinprice,-0.133927346694673,0.654242846854649,0.397034861209995,0.640809753294656,0.797965965410077,0.492986140225052,-0.319967210238546,0.539831805341061,0.700671740355774
griewank,0.721464746684996,0.524010321750998,0.0594098699241872,0.408869071188057,0.640447139178715,0.248995917179809,-0.835503174874233,0.294819841284831,0.705208163192956
levy,0.737160171665066,0.160286572583768,-0.187219643591563,0.613014924764515,0.372333115913272,0.721723167941515,0.42781221411574,0.567463918707081,-0.380490715569225
michalewicz,0.493805928252566,0.710194127109352,0.663273831326762,0.588864382902743,0.363113291537524,0.606981492234527,0.769513896035168,0.13576740452477,-0.897446998378994
quadric,0.502254877019628,0.691795002856088,0.453982603568233,0.582467706794769,-0.414304663049393,0.420356514245738,0.167851881465162,0.520416169789406,0.589928598709229
quartic,-0.154652769605447,0.12704742056438,0.553511913041429,0.446411593512773,0.0799734783948639,0.740124823652445,0.299224428132665,0.472402935059494,0.502547674293223
rastrigin,-0.0258072164931111,0.103618254251633,0.382133271410426,0.320556093562678,0.359052559134196,0.438667002706453,0.000195596419305883,0.480822680825887,-0.0636004276919112
rosenbrock,0.384908045915372,0.192797382852874,-0.0945581738757642,-0.052361562017418,0.505920650294097,0.461070405539951,0.225597465180513,0.661421789869545,0.434804314435035
salomon,0.277399722702934,0.822623576239669,0.0857148742127329,0.174228307038129,0.062657924071179,0.427154312073047,0.510972416340986,-0.02013638906779,-0.000869717665883707
schwefel1_2,0.227988557987805,0.439491954117487,0.308733123523612,0.733659021727754,0.436526146525369,0.153014470359843,0.581811314563462,0.856196443053187,0.67557508058319
schwefel2_22,0.263354595276647,0.475560178451445,0.530437102615174,0.430600837854897,0.451769877332189,0.700347540018388,0.592769758310241,0.616038826067152,0.674062976304733
schwefel2_26,0.80357254605964,0.850792870189113,0.546276771644914,0.711055580022697,0.731455010690632,0.351158201358627,-0.471111828377974,0.265437189080713,0.439801527768638
sixhump,0.79171636357146,0.692752015769649,0.736469436034388,0.307413503412966,0.584171587427987,0.811129534449131,0.137922140914992,-0.170406448457476,0.222138426681843
spherical,0.526346524849434,0.402180223967383,-0.114168790820119,-0.136107822137404,0.618158900931154,0.521538971165318,0.777510809608843,0.613770555607173,-0.506305371191923
step,0.31921901024616,0.7441009704531,0.700478779758854,0.444014054918339,0.801008569742457,0.0702739189105695,0.340170686870145,0.48265001422654,0.019140846308959
zakharov,0.0282690057391099,0.296972858970328,0.662577065825531,0.550067845792295,0.224427105869998,-0.115785988689714,0.655280212683927,0.609072776832969,0.787577292139345
